id,nama_depan,nama_belakang,email,gender,ipk
1,Legra,Sidworth,lsidworth0@alexa.com,Female,2.0
2,Kippar,Colston,kcolston1@washington.edu,Male,2.3
3,Nessie,Zealey,nzealey2@pen.io,Female,2.7
4,Maurizia,Glas,mglas3@youku.com,Male,3.6
5,Nappie,Cadden,ncadden4@wisc.edu,Female,3.4
6,Yasmeen,Jeannesson,yjeannesson5@gov.uk,Female,2.5
7,Jerrilee,McCorley,jmccorley6@tripod.com,Male,2.7
8,Adelind,Antrum,aantrum7@mayoclinic.com,Female,3.8
9,Nevile,Deaves,ndeaves8@facebook.com,Female,2.6
10,Winslow,Roscam,wroscam9@pagesperso-orange.fr,Male,2.6
11,Kayley,Stower,kstowera@stanford.edu,Female,2.1
12,Cherlyn,Galliver,cgalliverb@ucoz.ru,Male,3.1
13,Zorah,Sushams,zsushamsc@infoseek.co.jp,Male,2.5
14,Robina,Pavie,rpavied@hao123.com,Female,3.2
15,Duffie,Stendell,dstendelle@wordpress.org,Male,3.0
16,Agatha,Scamp,ascampf@linkedin.com,Male,2.1
17,Muffin,Vellden,mvelldeng@people.com.cn,Male,2.0
18,Niki,Gooday,ngoodayh@canalblog.com,Female,3.1
19,Alane,Glavias,aglaviasi@arizona.edu,Female,3.0
20,Joya,Walkington,jwalkingtonj@boston.com,Male,2.2
